"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.137196570E-1;5.033808947E-1;9.935937077E-2;9.830592155E0;9.843973117E0
6.157163750E-1;5.033808947E-1;8.499415964E-2;9.825803757E0;9.839056652E0
6.177130940E-1;4.890156984E-1;8.499415964E-2;9.825803757E0;9.838332167E0
6.197098130E-1;4.985924959E-1;1.041477770E-1;9.821015358E0;9.834214961E0
6.217065320E-1;5.033808947E-1;8.499415964E-2;9.821015358E0;9.834274706E0
6.237032500E-1;4.985924959E-1;8.499415964E-2;9.825803757E0;9.838812832E0
6.256999690E-1;4.938040972E-1;8.020575345E-2;9.825803757E0;9.838531136E0
6.276966880E-1;4.890156984E-1;9.935937077E-2;9.825803757E0;9.838466756E0
6.296934070E-1;4.985924959E-1;7.062894851E-2;9.825803757E0;9.838699222E0
6.316901250E-1;4.938040972E-1;9.457096457E-2;9.825803757E0;9.838658731E0
6.336868440E-1;4.890156984E-1;8.978256583E-2;9.835380554E0;9.847939272E0
6.356835630E-1;5.129576921E-1;8.978256583E-2;9.816226959E0;9.830030428E0
6.376802820E-1;4.985924959E-1;8.499415964E-2;9.835380554E0;9.848376979E0
6.396770520E-1;5.081692934E-1;9.457096457E-2;9.835380554E0;9.848953769E0
6.416738230E-1;5.177460909E-1;8.978256583E-2;9.821015358E0;9.835063019E0
6.436705940E-1;4.938040972E-1;8.499415964E-2;9.825803757E0;9.838571337E0
6.456673650E-1;4.842272997E-1;9.457096457E-2;9.825803757E0;9.838182719E0
6.476641360E-1;4.938040972E-1;8.978256583E-2;9.801861763E0;9.814703124E0
6.496609070E-1;4.938040972E-1;1.041477770E-1;9.821015358E0;9.833973353E0
